index,target,amountRaw,amountDecimal
125,0x5d2f3b43e2B40c10Cf4a20e7b623744f84bb0332,831083569120181088916840,831083.569120181088916840
126,0x5E81d646c7c650B5724b11c86eD08c8fC6095A22,2378438969068164001828282,2378438.969068164001828282
127,0x5eBD439D220af29f4df96B7CbDDb9c6831549D0b,135779518687864467219195,135779.518687864467219195
128,0x5FA7a7a0bFc08b44Edca6fc20006B9565c470777,1128937206319230478560867,1128937.206319230478560867
129,0x60342Cf272C6d66EE2CC5a5143fE9FB069F06AD3,506802327872430440632465,506802.327872430440632465
130,0x60ebF5BeC9f519A684e38bB719BECdA392085E91,332969446042492371007553,332969.446042492371007553
131,0x640F76e37630Cbe2a3C4e5b3A5e78577EdC69B91,214144930075371774371182,214144.930075371774371182
132,0x653786Ca717d46c5c7DfB85e7Ad6fE41Dd46A957,4603031092052461729029509,4603031.092052461729029509
133,0x668447a692cdc6a7F1440634513457eb16D6AE97,4044186335892287763246139,4044186.335892287763246139
134,0x66B7869EB8A5d537d6E7091F4331dd4CFc871Cd0,5519311618197048428879,5519.311618197048428879
135,0x697DC39Ca0C868a2c37AecC89cbFfefF84A7eb6e,103301516051721142304240,103301.516051721142304240
